family,params,build_sec,index_bytes,search_sec,recall_at_k
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 16}",11.265173,72397492,4.981961,0.874502
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 32}",11.265173,72397492,9.710089,0.901398
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 64}",11.265173,72397492,19.180187,0.907823
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 1}",16.939805,24663732,0.105947,0.291577
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 2}",16.939805,24663732,0.153405,0.411231
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 4}",16.939805,24663732,0.248374,0.515762
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 8}",16.939805,24663732,0.417702,0.589474
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 16}",16.939805,24663732,0.770285,0.630333
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 32}",16.939805,24663732,1.409370,0.648174
IVF_PQ,"{""nlist"": 1024, ""m"": 16, ""nprobe"": 64}",16.939805,24663732,2.687971,0.653449
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 1}",18.325522,40663732,0.151485,0.302048
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 2}",18.325522,40663732,0.234629,0.441029
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 4}",18.325522,40663732,0.405886,0.577488
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 8}",18.325522,40663732,0.751853,0.683495
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 16}",18.325522,40663732,1.358429,0.747482
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 32}",18.325522,40663732,2.583458,0.776940
IVF_PQ,"{""nlist"": 1024, ""m"": 32, ""nprobe"": 64}",18.325522,40663732,5.019517,0.787325
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 1}",20.402969,72663732,0.240921,0.310225
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 2}",20.402969,72663732,0.406408,0.454915
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 4}",20.402969,72663732,0.768712,0.611200
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 8}",20.402969,72663732,1.465279,0.747737
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 16}",20.402969,72663732,2.758355,0.842324
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 32}",20.402969,72663732,5.266108,0.889946
IVF_PQ,"{""nlist"": 1024, ""m"": 64, ""nprobe"": 64}",20.402969,72663732,10.242652,0.906370
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 1}",51.133867,25196212,0.090798,0.251544
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 2}",51.133867,25196212,0.122080,0.364651
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 4}",51.133867,25196212,0.188290,0.475861
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 8}",51.133867,25196212,0.280425,0.563114
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 16}",51.133867,25196212,0.463031,0.618351
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 32}",51.133867,25196212,0.847705,0.646445
IVF_PQ,"{""nlist"": 2048, ""m"": 16, ""nprobe"": 64}",51.133867,25196212,1.626618,0.657352
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 1}",52.280044,41196212,0.115816,0.255213
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 2}",52.280044,41196212,0.166314,0.381047
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 4}",52.280044,41196212,0.267328,0.516722
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 8}",52.280044,41196212,0.462158,0.637137
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 16}",52.280044,41196212,0.845370,0.720496
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 32}",52.280044,41196212,1.561989,0.766245
IVF_PQ,"{""nlist"": 2048, ""m"": 32, ""nprobe"": 64}",52.280044,41196212,2.994504,0.786539
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 1}",55.272836,73196212,0.162454,0.257520
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 2}",55.272836,73196212,0.286057,0.388226
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 4}",55.272836,73196212,0.493795,0.537283
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 8}",55.272836,73196212,0.886288,0.680675
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 16}",55.272836,73196212,1.661798,0.797562
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 32}",55.272836,73196212,3.209597,0.868594
IVF_PQ,"{""nlist"": 2048, ""m"": 64, ""nprobe"": 64}",55.272836,73196212,6.210002,0.900615
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 1}",169.144912,26261172,0.113024,0.213078
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 2}",169.144912,26261172,0.132339,0.318201
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 4}",169.144912,26261172,0.179888,0.431103
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 8}",169.144912,26261172,0.256073,0.528343
IVF_PQ,"{""nlist"": 4096, ""m"": 16, ""nprobe"": 16}",169.144912,26261172,0.393765,0.598171
